language,word,count
english,the,126259
english,of,66932
english,and,55547
english,in,55080
english,to,45643
english,a,40813
english,is,26099
english,was,18554
english,for,18369
english,that,16017
english,on,15544
english,as,15354
english,with,12582
english,by,12031
english,it,11347
english,he,11240
english,from,10670
english,are,10272
english,at,9533
english,his,8736
english,this,8635
english,an,7538
english,be,7355
english,have,6629
english,has,6473
english,i,6318
english,or,6224
english,they,6020
english,not,5906
english,their,5572
english,she,5262
english,also,5185
english,were,5168
english,who,5059
english,which,4956
english,but,4855
english,one,4768
english,we,4462
english,her,4289
english,people,4119
english,first,4016
english,been,3939
english,you,3903
english,about,3897
english,all,3757
english,after,3640
english,had,3578
english,there,3428
english,can,3330
english,its,3319
english,more,3253
english,other,3228
english,when,3130
english,world,3050
english,may,2942
english,will,2920
english,some,2901
english,many,2714
english,new,2674
english,so,2609
english,years,2607
english,most,2590
english,these,2575
english,two,2545
english,time,2500
english,national,2464
english,than,2366
english,them,2320
english,what,2315
english,up,2307
english,if,2232
english,where,2197
english,my,2193
english,into,2184
english,over,2135
english,our,2114
english,out,2104
english,no,2102
english,only,2094
english,during,2073
english,such,2055
english,south,1993
english,africa,1983
english,would,1975
english,government,1969
english,born,1952
english,do,1907
english,between,1870
english,used,1867
english,african,1853
english,year,1820
english,him,1794
english,known,1793
english,united,1780
english,country,1762
english,president,1758
english,university,1734
english,like,1732
english,now,1729
english,–,1698
swahili,ya,119599
swahili,na,91473
swahili,wa,80360
swahili,kwa,43123
swahili,katika,32806
swahili,ni,23883
swahili,za,21950
swahili,la,19658
swahili,kama,13498
swahili,cha,13329
swahili,kuwa,11636
swahili,mwaka,11273
swahili,kwenye,9581
swahili,yake,8112
swahili,watu,7372
swahili,kutoka,6966
swahili,vya,6890
swahili,zaidi,6556
swahili,wakati,6201
swahili,pia,5661
swahili,au,5651
swahili,nchini,5507
swahili,hii,5323
swahili,miaka,5209
swahili,nchi,5103
swahili,kwamba,4762
swahili,lakini,4694
swahili,hiyo,4684
swahili,mnamo,4646
swahili,1,4595
swahili,wake,4590
swahili,kwanza,4523
swahili,baada,4409
swahili,kazi,4357
swahili,alikuwa,4348
swahili,pamoja,4244
swahili,mara,4207
swahili,moja,3827
swahili,mto,3759
swahili,ambayo,3758
swahili,kati,3722
swahili,habari,3662
swahili,juu,3627
swahili,hivyo,3600
swahili,sana,3554
swahili,afrika,3307
swahili,kuhusu,3297
swahili,hadi,3267
swahili,sehemu,3136
swahili,huko,3103
swahili,kila,3059
swahili,serikali,3020
swahili,siku,3011
swahili,hata,2941
swahili,huo,2744
swahili,mkuu,2737
swahili,2,2706
swahili,sababu,2694
swahili,ambao,2668
swahili,hali,2655
swahili,huu,2603
swahili,ili,2577
swahili,kubwa,2563
swahili,kusini,2563
swahili,eneo,2549
swahili,nyingi,2548
swahili,ilikuwa,2531
swahili,marekani,2529
swahili,sasa,2500
swahili,mji,2500
swahili,chini,2436
swahili,chuo,2436
swahili,kuna,2416
swahili,yao,2412
swahili,tu,2387
swahili,the,2383
swahili,picha,2352
swahili,mtu,2323
swahili,mwa,2281
swahili,muda,2248
swahili,kikuu,2212
swahili,jina,2206
swahili,hili,2179
swahili,wengi,2160
swahili,mmoja,2159
swahili,rais,2107
swahili,tarehe,2081
swahili,ambaye,2063
swahili,kawaida,2058
swahili,njia,2040
swahili,maisha,2032
swahili,ndani,2018
swahili,ambapo,2015
swahili,vile,1989
swahili,watoto,1934
swahili,ajili,1931
swahili,dunia,1877
swahili,kufanya,1869
swahili,haki,1862
